address	name	category
0x00100298	FUN_00100298	libc-ps2sdk
0x00100338	FUN_00100338	libc-ps2sdk
0x00100590	FUN_00100590	libc-ps2sdk
0x00100648	FUN_00100648	libc-ps2sdk
0x001006e8	FUN_001006e8	libc-ps2sdk
0x00100768	FUN_00100768	libc-ps2sdk
0x001007c0	FUN_001007c0	libc-ps2sdk
0x00100838	FUN_00100838	network-decoded
0x00100b50	FUN_00100b50	libc-ps2sdk
0x00100b70	FUN_00100b70	network-decoded
0x00100ce0	FUN_00100ce0	libc-ps2sdk
0x00100d78	FUN_00100d78	libc-ps2sdk
0x00100e18	FUN_00100e18	libc-ps2sdk
0x00100e88	FUN_00100e88	network-decoded
0x001010a8	FUN_001010a8	network-decoded
0x00101388	FUN_00101388	network-decoded
0x00101580	FUN_00101580	network-decoded
0x00101788	FUN_00101788	libc-ps2sdk
0x00101968	FUN_00101968	libc-ps2sdk
0x00101a38	FUN_00101a38	libc-ps2sdk
0x00101ae8	FUN_00101ae8	libc-ps2sdk
0x00101b80	FUN_00101b80	libc-ps2sdk
0x00101c38	FUN_00101c38	libc-ps2sdk
0x00101d08	FUN_00101d08	libc-ps2sdk
0x00101e00	FUN_00101e00	libc-ps2sdk
0x00101e70	FUN_00101e70	libc-ps2sdk
0x00101ef8	FUN_00101ef8	libc-ps2sdk
0x00101f20	FUN_00101f20	libc-ps2sdk
0x00101f58	FUN_00101f58	libc-ps2sdk
0x00101f80	FUN_00101f80	libc-ps2sdk
0x00102060	FUN_00102060	libc-ps2sdk
0x00102288	FUN_00102288	libc-ps2sdk
0x001022f0	FUN_001022f0	libc-ps2sdk
0x00102368	FUN_00102368	libc-ps2sdk
0x001023e0	FUN_001023e0	libc-ps2sdk
0x00102428	FUN_00102428	libc-ps2sdk
0x001024a8	FUN_001024a8	libc-ps2sdk
0x00102528	FUN_00102528	libc-ps2sdk
0x00102560	FUN_00102560	libc-ps2sdk
0x00102598	FUN_00102598	libc-ps2sdk
0x00102648	FUN_00102648	libc-ps2sdk
0x00102660	FUN_00102660	libc-ps2sdk
0x00102678	FUN_00102678	libc-ps2sdk
0x001026a0	FUN_001026a0	libc-ps2sdk
0x00102790	FUN_00102790	libc-ps2sdk
0x001027c8	FUN_001027c8	libc-ps2sdk
0x00102830	FUN_00102830	libc-ps2sdk
